type,name,elevation_ft,iso_country,municipality,iata_code,coordinates
medium_airport,Reading Regional Carl A Spaatz Field,344.0,US,Reading,RDG,"-75.96520233154297, 40.378501892089844"
medium_airport,Roberts Field,3080.0,US,Redmond,RDM,"-121.1500015, 44.2541008"
medium_airport,Grand Forks Air Force Base,913.0,US,Grand Forks,RDR,"-97.4011993408, 47.961101532"
large_airport,Raleigh Durham International Airport,435.0,US,Raleigh/Durham,RDU,"-78.7874984741211, 35.877601623535156"
small_airport,Rome State Airport,4053.0,US,Rome,REO,"-117.885002136, 42.5777015686"
large_airport,Chicago Rockford International Airport,742.0,US,Chicago/Rockford,RFD,"-89.09719848632812, 42.19540023803711"
medium_airport,Rhinelander Oneida County Airport,1624.0,US,Rhinelander,RHI,"-89.46749877929688, 45.63119888305664"
small_airport,Reid-Hillview Airport of Santa Clara County,135.0,US,San Jose,RHV,"-121.819000244, 37.332901001"
large_airport,Richmond International Airport,167.0,US,Richmond,RIC,"-77.3197021484375, 37.50519943237305"
medium_airport,Garfield County Regional Airport,5548.0,US,Rifle,RIL,"-107.726997, 39.526299"
medium_airport,March ARB Airport,1536.0,US,Riverside,RIV,"-117.259003, 33.880699"
medium_airport,Riverton Regional Airport,5525.0,US,Riverton,RIW,"-108.459999084, 43.064201355"
small_airport,Karawari Airstrip,70.0,PG,Amboin,KRJ,"143.5225, -4.59666666667"
small_airport,Knox County Regional Airport,56.0,US,Rockland,RKD,"-69.09919739, 44.06010056"
small_airport,Aransas County Airport,24.0,US,Rockport,RKP,"-97.0446014404, 28.0867996216"
medium_airport,Southwest Wyoming Regional Airport,6764.0,US,Rock Springs,RKS,"-109.065001, 41.5942"
small_airport,Rockwood Municipal Airport,1664.0,US,Rockwood,RKW,"-84.6896972656, 35.9222984314"
medium_airport,Griffiss International Airport,504.0,US,Rome,RME,"-75.40699768, 43.23379898"
medium_airport,Richard B Russell Airport,644.0,US,Rome,RMG,"-85.15799713130001, 34.3506011963"
small_airport,Warren County Memorial Airport,1032.0,US,Mc Minnville,RNC,"-85.84380341, 35.69869995"
large_airport,Randolph Air Force Base,761.0,US,Universal City,RND,"-98.27890015, 29.52969933"
large_airport,Reno Tahoe International Airport,4415.0,US,Reno,RNO,"-119.76799774169922, 39.49909973144531"
small_airport,Renton Municipal Airport,32.0,US,Renton,RNT,"-122.216003418, 47.4930992126"
large_airport,RoanokeâBlacksburg Regional Airport,1175.0,US,Roanoke,ROA,"-79.975403, 37.3255"
large_airport,Greater Rochester International Airport,559.0,US,Rochester,ROC,"-77.67240142822266, 43.118900299072266"
small_airport,Rogers Municipal Airport-Carter Field,1359.0,US,Rogers,ROG,"-94.10690308, 36.37229919"
medium_airport,Roswell International Air Center Airport,3671.0,US,Roswell,ROW,"-104.53099822998047, 33.30160140991211"
small_airport,Roseau Municipal Rudy Billberg Field,1060.0,US,Roseau,ROX,"-95.6969986, 48.85599899"
small_airport,hln,1109.0,US,Rice Lake,RIE,"-91.77349854, 45.41899872"
small_airport,Roundup Airport,3500.0,US,Roundup,RPX,"-108.541497, 46.475095"
small_airport,Roben Hood Airport,990.0,US,Big Rapids,WBR,"-85.50409698490002, 43.7225990295"
small_airport,El Reno Regional Airport,1420.0,US,El Reno,RQO,"-98.00579834, 35.47269821"
small_airport,Merrill Municipal Airport,1318.0,US,Merrill,RRL,"-89.7128982544, 45.1988983154"
small_airport,Warroad International Memorial Airport,1076.0,US,Warroad,RRT,"-95.3483963, 48.94139862"
medium_airport,Russell Municipal Airport,1862.0,US,Russell,RSL,"-98.811798095703, 38.872100830078"
small_airport,Ruston Regional Airport,311.0,US,Ruston,RSN,"-92.591697692871, 32.514400482178"
large_airport,Rochester International Airport,1317.0,US,Rochester,RST,"-92.5, 43.90829849243164"
large_airport,Southwest Florida International Airport,30.0,US,Fort Myers,RSW,"-81.75520324707031, 26.53619956970215"
small_airport,Raton Municipal-Crews Field,6352.0,US,Raton,RTN,"-104.5019989, 36.74150085"
small_airport,Kerau Airport,7360.0,PG,Gunim,KRU,"147.071899, -8.271612"
small_airport,Mid-Carolina Regional Airport,772.0,US,Salisbury,SRW,"-80.520302, 35.645901"
medium_airport,Rutland - Southern Vermont Regional Airport,787.0,US,Rutland,RUT,"-72.94960022, 43.52939987"
small_airport,Mifflin County Airport,819.0,US,Reedsville,RED,"-77.6268005371, 40.6773986816"
medium_airport,Richard Lloyd Jones Jr Airport,638.0,US,Tulsa,RVS,"-95.984596252441, 36.039600372314"
medium_airport,Redwood Falls Municipal Airport,1024.0,US,Redwood Falls,RWF,"-95.08229828, 44.54719925"
medium_airport,Rocky Mount Wilson Regional Airport,159.0,US,Rocky Mount,RWI,"-77.89189910888672, 35.856300354003906"
medium_airport,Rawlins Municipal Airport/Harvey Field,6813.0,US,Rawlins,RWL,"-107.1999969, 41.80559921"
small_airport,Rexburg Madison County Airport,4858.0,US,Rexburg,RXE,"-111.805002, 43.8339"
small_airport,Jasper County Airport,698.0,US,Rensselaer,RNZ,"-87.1826019287, 40.9478988647"
closed,Halifax County Airport,256.0,US,Roanoke Rapids,RZZ,"-77.7092971802, 36.4394989014"
small_airport,Ashland Municipal Sumner Parker Field,1885.0,US,Ashland,AHM,"-122.661003113, 42.190299987799996"
small_airport,Bandon State Airport,122.0,US,Bandon,BDY,"-124.4079971, 43.08649826"
small_airport,Sunriver Airport,4164.0,US,Sunriver,SUO,"-121.45300293, 43.8763008118"
small_airport,Madras Municipal Airport,2437.0,US,Madras,MDJ,"-121.1549988, 44.67020035"
small_airport,Prineville Airport,3250.0,US,Prineville,PRZ,"-120.90399932861, 44.286998748779"
small_airport,Idaho County Airport,3314.0,US,Grangeville,IDH,"-116.123001, 45.9426"
small_airport,Vista Field,534.0,US,Kennewick,VSK,"-119.209999084, 46.2186012268"
small_airport,Shively Field,7012.0,US,Saratoga,SAA,"-106.823997, 41.444901"
medium_airport,Sacramento Executive Airport,24.0,US,Sacramento,SAC,"-121.492996216, 38.5125007629"
small_airport,Safford Regional Airport,3179.0,US,Safford,SAD,"-109.6350021, 32.85480118"
medium_airport,Santa Fe Municipal Airport,6348.0,US,Santa Fe,SAF,"-106.088996887, 35.617099762"
large_airport,San Diego International Airport,17.0,US,San Diego,SAN,"-117.190002441, 32.7336006165"
small_airport,Sparta Community Hunter Field,538.0,US,Sparta,SAR,"-89.6986999512, 38.1488990784"
large_airport,San Antonio International Airport,809.0,US,San Antonio,SAT,"-98.46980285644531, 29.533700942993164"
large_airport,Savannah Hilton Head International Airport,50.0,US,Savannah,SAV,"-81.20210266, 32.12760162"
medium_airport,Sawyer International Airport,1221.0,US,Marquette,MQT,"-87.395401001, 46.353599548300004"
medium_airport,Santa Barbara Municipal Airport,13.0,US,Santa Barbara,SBA,"-119.8399963, 34.42620087"
medium_airport,San Bernardino International Airport,1159.0,US,San Bernardino,SBD,"-117.23500061, 34.0954017639"
small_airport,Sheboygan County Memorial Airport,755.0,US,Sheboygan,SBM,"-87.85140228, 43.76959991"
large_airport,South Bend Regional Airport,799.0,US,South Bend,SBN,"-86.31729888916016, 41.70869827270508"
medium_airport,San Luis County Regional Airport,212.0,US,San Luis Obispo,SBP,"-120.641998291, 35.236801147499996"
small_airport,Steamboat Springs Bob Adams Field,6882.0,US,Steamboat Springs,SBS,"-106.8659973, 40.5163002"
small_airport,Shelby Airport,3443.0,US,Shelby,SBX,"-111.871002197, 48.5406990051"
medium_airport,Salisbury Ocean City Wicomico Regional Airport,52.0,US,Salisbury,SBY,"-75.51029968261719, 38.34049987792969"
small_airport,Scribner State Airport,1325.0,US,Scribner,SCB,"-96.629898071289, 41.610298156738"
medium_airport,Schenectady County Airport,378.0,US,Schenectady,SCH,"-73.928901672363, 42.852500915527"
medium_airport,Stockton Metropolitan Airport,33.0,US,Stockton,SCK,"-121.2379989624, 37.894199371338"
large_airport,Louisville International Standiford Field,501.0,US,Louisville,SDF,"-85.736, 38.1744"
small_airport,Scottsdale Airport,1510.0,US,Scottsdale,SCF,"-111.91100311279, 33.622898101807"
medium_airport,Brown Field Municipal Airport,526.0,US,San Diego,SDM,"-116.98000335693, 32.572299957275"
medium_airport,Sidney - Richland Regional Airport,1985.0,US,Sidney,SDY,"-104.193001, 47.706902"
large_airport,Seattle Tacoma International Airport,433.0,US,Seattle,SEA,"-122.308998, 47.449001"
small_airport,Gillespie Field,388.0,US,San Diego/El Cajon,SEE,"-116.97200012207, 32.826198577881"
small_airport,Sebring Regional Airport,62.0,US,Sebring,SEF,"-81.3423996, 27.45639992"
small_airport,Penn Valley Airport,450.0,US,Selinsgrove,SEG,"-76.863899230957, 40.820598602295"
small_airport,Craig Field,166.0,US,Selma,SEM,"-86.987800598145, 32.343898773193"
small_airport,Stephenville Clark Regional Airport,1321.0,US,Stephenville,SEP,"-98.177696228027, 32.215301513672"
small_airport,Freeman Municipal Airport,583.0,US,Seymour,SER,"-85.907402038574, 38.923599243164"
small_airport,Sedona Airport,4830.0,US,Sedona,SDX,"-111.78800201416, 34.848598480225"
large_airport,Orlando Sanford International Airport,55.0,US,Orlando,SFB,"-81.23750305175781, 28.777599334716797"
medium_airport,Felts Field,1953.0,US,Spokane,SFF,"-117.32299804688, 47.682800292969"
small_airport,Sanford Seacoast Regional Airport,244.0,US,Sanford,SFM,"-70.708000183105, 43.393901824951"
large_airport,San Francisco International Airport,13.0,US,San Francisco,SFO,"-122.375, 37.61899948120117"
small_airport,North Central State Airport,441.0,US,Pawtucket,SFZ,"-71.49140167239999, 41.9207992554"
closed,Kisengam Airport,3700.0,PG,Kisenden,KSG,"146.71, -6.362"
large_airport,Springfield Branson National Airport,1268.0,US,Springfield,SGF,"-93.38860321, 37.24570084"
medium_airport,Springfield-Beckley Municipal Airport,1051.0,US,Springfield,SGH,"-83.840202331543, 39.840301513672"
medium_airport,Northeast Florida Regional Airport,10.0,US,St Augustine,UST,"-81.339798, 29.9592"
